instance,solve_time(s)
i-ng-20-25-21-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-46,0.00155187
i-ng-10-7-6-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-20,0.00176001
i-ng-10-7-6-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-20,0.00190306
i-ng-30-34-26-20h-13mxP-13mxC-8mxH-1mnH-20171209_00-44-06,0.00177383
i-ng-20-7-6-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-36,0.00439
i-ng-20-19-16-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-42,0.00177002
i-ng-30-34-26-20h-13mxP-13mxC-8mxH-1mnH-20171209_00-44-05,0.00348496
i-ng-10-18-16-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-25,0.00180101
i-ng-20-13-11-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-38,0.00146985
i-ng-20-19-16-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-50,0.00164986
i-ng-10-18-16-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-24,0.0017221
i-ng-20-19-16-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-42-50,0.00183201
i-ng-10-7-6-20h-13mxP-13mxC-8mxH-5mnH-20171209_00-43-19,0.00171494
i-ng-30-8-6-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-54,0.00112104
i-ng-20-7-6-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-37,0.00193
i-ng-10-23-21-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-29,0.00183606
i-ng-10-1-1-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-18,0.00226188
i-ng-30-27-21-20h-13mxP-13mxC-8mxH-1mnH-20171209_00-44-01,0.00123596
i-ng-20-13-11-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-39,0.00152493
i-ng-0-6-6-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-03,0.00203013
i-ng-30-21-16-20h-13mxP-13mxC-8mxH-5mnH-20171209_00-43-57,0.001436
i-ng-20-13-11-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-38,0.00173998
i-ng-30-34-26-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-44-08,0.00606585
i-ng-20-31-26-16h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-53,0.00165009
i-ng-20-31-26-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-42-53,0.00183487
i-ng-30-8-6-16h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-55,0.0010891
i-ng-10-12-11-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-21,0.00220704
i-ng-20-13-11-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-39,0.00231719
i-ng-0-11-11-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-05,0.00263405
i-ng-30-14-11-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-56,0.00145292
i-ng-10-18-16-20h-8mxP-8mxC-6mxH-1mnH-20171209_00-43-23,0.00256705
i-ng-10-29-26-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-33,0.00153589
i-ng-10-23-21-20h-13mxP-13mxC-8mxH-5mnH-20171209_00-43-27,0.00202012
i-ng-20-13-11-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-38,0.00158286
i-ng-20-31-26-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-50,0.00122905
i-ng-30-14-11-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-42-56,0.00105596
i-ng-30-21-16-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-44-00,0.00138783
i-ng-30-14-11-12h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-31,0.00209093
i-ng-20-7-6-20h-13mxP-13mxC-8mxH-5mnH-20171209_00-43-36,0.00163603
i-ng-10-23-21-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-29,0.00176406
i-ng-10-18-16-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-26,0.00181198
i-ng-20-7-6-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-36,0.00180006
i-ng-10-29-26-20h-8mxP-8mxC-6mxH-4mnH-20171209_00-43-31,0.00194716
i-ng-10-29-26-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-35,0.00167298
i-ng-30-21-16-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-58,0.00212097
i-ng-20-13-11-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-38,0.0014379
i-ng-30-21-16-20h-8mxP-8mxC-6mxH-1mnH-20171209_00-43-57,0.00155306
i-ng-20-7-6-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-36,0.00160503
i-ng-20-25-21-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-52,0.00151181
i-ng-10-7-6-12h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-26,0.00258517
i-ng-10-1-1-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-18,0.00208902
i-ng-10-29-26-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-32,0.00153708
i-ng-30-34-26-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-44-07,0.00140595
i-ng-10-23-21-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-28,0.00181198
i-ng-30-34-26-12h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-33,0.00217295
i-ng-30-34-26-12h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-32,0.00879502
i-ng-20-25-21-16h-13mxP-9mxC-8mxH-5mnH-20171209_00-42-52,0.00229812
i-ng-10-29-26-20h-13mxP-13mxC-8mxH-1mnH-20171209_00-43-31,0.00192189
i-ng-0-1-1-12h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-23,0.00253892
i-ng-30-27-21-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-44-02,0.0013721
i-ng-30-34-26-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-44-09,0.00111699
i-ng-30-34-26-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-44-08,0.00120783
i-ng-30-8-6-20h-8mxP-8mxC-6mxH-1mnH-20171209_00-43-53,0.00107288
i-ng-10-23-21-16h-13mxP-9mxC-8mxH-5mnH-20171209_00-42-45,0.00192809
i-ng-20-19-16-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-41,0.0019691
i-ng-30-8-6-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-54,0.00145006
i-ng-30-21-16-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-58,0.00133705
i-ng-10-29-26-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-34,0.00152206
i-ng-20-1-1-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-36,0.00174809
i-ng-20-13-11-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-42-48,0.0016849
i-ng-10-1-1-16h-13mxP-13mxC-8mxH-5mnH-20171209_00-42-40,0.00241613
i-ng-30-8-6-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-54,0.00165391
i-ng-0-1-1-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-02,0.002563
i-ng-30-14-11-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-55,0.00125885
i-ng-30-1-1-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-52,0.00286818
i-ng-20-13-11-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-49,0.002141
i-ng-20-25-21-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-44,0.00140715
i-ng-20-7-6-16h-13mxP-13mxC-8mxH-5mnH-20171209_00-42-48,0.001616
i-ng-30-21-16-12h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-31,0.00140095
i-ng-10-29-26-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-34,0.00232887
i-ng-20-25-21-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-46,0.00196505
i-ng-20-31-26-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-50,0.00127983
i-ng-20-25-21-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-45,0.00137591
i-ng-30-27-21-16h-13mxP-13mxC-8mxH-5mnH-20171209_00-42-59,0.00158596
i-ng-20-31-26-16h-13mxP-13mxC-8mxH-5mnH-20171209_00-42-54,0.00200605
i-ng-20-1-1-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-36,0.00221395
i-ng-30-8-6-12h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-31,0.00136399
i-ng-10-1-1-20h-13mxP-13mxC-8mxH-1mnH-20171209_00-43-18,0.00234509
i-ng-10-7-6-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-19,0.00474501
i-ng-10-18-16-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-25,0.00183105
i-ng-30-8-6-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-54,0.00484896
i-ng-0-1-1-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-02,0.0025208
i-ng-30-34-26-20h-8mxP-8mxC-6mxH-4mnH-20171209_00-44-05,0.00175595
i-ng-10-18-16-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-24,0.00185609
i-ng-30-34-26-16h-13mxP-13mxC-8mxH-5mnH-20171209_00-43-01,0.00163889
i-ng-30-14-11-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-56,0.00110793
i-ng-20-31-26-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-51,0.00149202
i-ng-20-31-26-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-52,0.00114298
i-ng-30-1-1-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-53,0.00156498
i-ng-20-31-26-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-49,0.0017581
i-ng-0-11-11-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-05,0.00244594
i-ng-10-12-11-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-21,0.00178885
i-ng-30-27-21-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-42-59,0.00158691
i-ng-30-14-11-16h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-56,0.00260592
i-ng-20-19-16-20h-8mxP-8mxC-6mxH-1mnH-20171209_00-43-39,0.00304985
i-ng-30-34-26-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-44-09,0.001091
i-ng-20-13-11-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-38,0.00147986
i-ng-20-31-26-20h-8mxP-8mxC-6mxH-4mnH-20171209_00-43-48,0.00160789
i-ng-0-11-11-16h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-33,0.00222611
i-ng-10-23-21-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-30,0.00217199
i-ng-10-18-16-20h-13mxP-13mxC-8mxH-1mnH-20171209_00-43-23,0.001858
i-ng-20-25-21-16h-13mxP-13mxC-8mxH-5mnH-20171209_00-42-51,0.00145507
i-ng-0-1-1-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-02,0.00325418
i-ng-20-25-21-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-45,0.00172186
i-ng-20-31-26-20h-8mxP-8mxC-6mxH-4mnH-20171209_00-43-47,0.00150609
i-ng-30-1-1-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-53,0.00106692
i-ng-20-1-1-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-35,0.00193596
i-ng-20-1-1-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-36,0.00359988
i-ng-20-13-11-20h-8mxP-8mxC-6mxH-4mnH-20171209_00-43-37,0.00175905
i-ng-30-27-21-12h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-32,0.00184107
i-ng-10-29-26-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-33,0.00267506
i-ng-20-7-6-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-37,0.00176501
i-ng-20-25-21-20h-13mxP-13mxC-8mxH-5mnH-20171209_00-43-44,0.0017941
i-ng-30-8-6-12h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-31,0.00136805
i-ng-20-13-11-20h-13mxP-13mxC-8mxH-5mnH-20171209_00-43-37,0.00251794
i-ng-10-18-16-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-26,0.00222111
i-ng-30-21-16-16h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-57,0.00837779
i-ng-30-8-6-20h-13mxP-13mxC-8mxH-5mnH-20171209_00-43-53,0.0013411
i-ng-20-13-11-16h-13mxP-9mxC-8mxH-5mnH-20171209_00-42-49,0.00170708
i-ng-30-21-16-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-59,0.00133801
i-ng-30-21-16-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-58,0.00188994
i-ng-30-8-6-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-54,0.00120115
i-ng-20-7-6-16h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-47,0.00158191
i-ng-10-7-6-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-19,0.00268292
i-ng-20-1-1-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-36,0.00184011
i-ng-30-14-11-12h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-31,0.00125599
i-ng-30-27-21-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-59,0.00220394
i-ng-30-27-21-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-44-03,0.0014379
i-ng-20-19-16-16h-13mxP-13mxC-8mxH-5mnH-20171209_00-42-50,0.00169086
i-ng-30-1-1-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-53,0.00184321
i-ng-10-12-11-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-22,0.00163388
i-ng-20-7-6-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-42-48,0.00174999
i-ng-10-12-11-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-42,0.00314212
i-ng-20-31-26-16h-13mxP-9mxC-8mxH-5mnH-20171209_00-42-54,0.00200319
i-ng-20-1-1-12h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-28,0.00247908
i-ng-10-29-26-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-47,0.00177693
i-ng-30-34-26-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-43-01,0.00184107
i-ng-30-27-21-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-44-04,0.00141001
i-ng-20-25-21-16h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-51,0.00134492
i-ng-20-13-11-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-39,0.0020318
i-ng-20-7-6-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-37,0.00176406
i-ng-10-18-16-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-43,0.00188518
i-ng-30-27-21-16h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-58,0.00257993
i-ng-30-27-21-16h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-59,0.00116491
i-ng-10-23-21-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-28,0.00244594
i-ng-20-7-6-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-36,0.00153303
i-ng-30-34-26-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-44-10,0.00136399
