instance,objective_fuction, solve_time(s)
x_10_0.dat,8,0.00703406
x_10_1.dat,10,0.00184202
x_10_2.dat,11,0.00106096
x_10_3.dat,7,0.00483108
x_10_4.dat,13,0.00088501
x_10_5.dat,14,0.00123692
x_10_6.dat,13,0.00118804
x_10_7.dat,11,0.00560403
x_10_8.dat,8,0.00145006
x_11_0.dat,9,0.00113893
x_11_1.dat,13,0.00146198
x_11_2.dat,6,0.00293207
x_11_3.dat,11,0.00110602
x_11_4.dat,12,0.00145483
x_11_5.dat,6,0.00110698
x_11_6.dat,12,0.004673
x_11_7.dat,6,0.00379395
x_11_8.dat,9,0.00273395
x_12_0.dat,6,0.00538492
x_12_1.dat,14,0.00134611
x_12_2.dat,12,0.001966
x_12_3.dat,19,120.883
x_12_4.dat,9,0.00171399
x_12_5.dat,13,0.00344419
x_12_6.dat,14,0.002074
x_12_7.dat,13,0.002285
x_12_8.dat,9,0.00222397
x_13_0.dat,12,0.00133681
x_13_1.dat,8,0.00152302
x_13_2.dat,15,0.00202513
x_13_3.dat,14,0.0014801
x_13_4.dat,15,0.00273204
x_13_5.dat,13,0.00333118
x_13_6.dat,7,0.00158
x_13_7.dat,9,0.00159001
x_13_8.dat,13,0.00163293
x_14_0.dat,16,0.00136709
x_14_1.dat,13,0.00158191
x_14_2.dat,11,0.00151086
x_14_3.dat,17,0.00370789
x_14_4.dat,26,0.00144506
x_14_5.dat,14,0.00133586
x_14_6.dat,11,0.001472
x_14_7.dat,16,0.00119519
x_14_8.dat,18,0.00172186
x_15_0.dat,29,135.712
x_15_1.dat,15,0.00220704
x_15_2.dat,17,0.0018959
x_15_3.dat,22,0.00187898
x_15_4.dat,14,0.00144506
x_15_5.dat,16,0.00161386
x_15_6.dat,17,0.0014801
x_15_7.dat,31,162.329
x_15_8.dat,18,0.0022831
x_16_0.dat,18,0.00206399
x_16_1.dat,21,0.00240517
x_16_2.dat,16,0.001858
x_16_3.dat,12,0.00293803
x_16_4.dat,13,0.00255299
x_16_5.dat,18,137.142
x_16_6.dat,26,119.769
x_16_7.dat,25,0.00762701
x_16_8.dat,19,138.464
x_17_0.dat,33,172.897
x_17_1.dat,18,0.00233102
x_17_2.dat,16,0.00360203
x_17_3.dat,17,123.493
x_17_4.dat,16,0.00247693
x_17_5.dat,13,22.6712
x_17_6.dat,24,146.961
x_17_7.dat,28,0.00246882
x_17_8.dat,13,0.00251794
x_18_0.dat,21,0.00289392
x_18_1.dat,16,144.625
x_18_2.dat,24,0.00309896
x_18_3.dat,26,0.00248718
x_18_4.dat,22,0.00220108
x_18_5.dat,21,0.00240302
x_18_6.dat,16,0.00234699
x_18_7.dat,29,0.00340104
x_18_8.dat,21,0.00326395
x_19_0.dat,21,187.788
x_19_1.dat,30,127.515
x_19_2.dat,30,139.026
x_19_3.dat,21,0.00232601
x_19_4.dat,23,0.00282884
x_19_5.dat,16,148.862
x_19_6.dat,29,0.00235701
x_19_7.dat,19,0.00299001
x_19_8.dat,16,0.00267315
x_20_0.dat,26,168.976
x_20_1.dat,19,0.00242186
x_20_2.dat,26,0.00238395
x_20_3.dat,21,0.0027802
x_20_4.dat,22,0.00227904
x_20_5.dat,24,0.00245714
x_20_6.dat,28,0.00246811
x_20_7.dat,21,0.00340295
x_20_8.dat,29,0.00235891
x_21_0.dat,23,177.142
x_21_1.dat,23,0.00310588
x_21_2.dat,27,161.225
x_21_3.dat,33,150.173
x_21_4.dat,24,188.327
x_21_5.dat,24,0.00474811
x_21_6.dat,40,174.143
x_21_7.dat,23,0.00265694
x_21_8.dat,25,0.00274611
x_22_0.dat,22,0.00277209
x_22_1.dat,28,0.00287008
x_22_2.dat,28,202.593
x_22_3.dat,30,0.00274181
x_22_4.dat,21,0.00276899
x_22_5.dat,36,0.00282717
x_22_6.dat,26,0.00331783
x_22_7.dat,27,208.949
x_22_8.dat,20,0.00258303
x_23_0.dat,27,0.00264096
x_23_1.dat,26,0.00238204
x_23_2.dat,28,0.0030129
x_23_3.dat,35,164.033
x_23_4.dat,24,0.00261021
x_23_5.dat,27,0.00264192
x_23_6.dat,23,0.00257611
x_23_7.dat,33,0.00342607
x_23_8.dat,33,0.00241804
x_24_0.dat,22,0.00281215
x_24_1.dat,28,0.00297904
x_24_2.dat,27,0.00244403
x_24_3.dat,24,0.00244188
x_24_4.dat,15,0.00280023
x_24_5.dat,27,160.365
x_24_6.dat,28,208.834
x_24_7.dat,24,0.00293088
x_24_8.dat,22,0.00279403
x_25_0.dat,30,0.00291705
x_25_1.dat,29,0.00335717
x_25_2.dat,26,0.0024488
x_25_3.dat,29,0.00394487
x_25_4.dat,33,0.003196
x_25_5.dat,38,93.4568
x_25_6.dat,29,0.00321507
x_25_7.dat,38,91.3419
x_25_8.dat,29,0.00310683
x_26_0.dat,43,178.148
x_26_1.dat,33,0.00363612
x_26_2.dat,32,158.986
x_26_3.dat,34,228.277
x_26_4.dat,29,0.00320697
x_26_5.dat,33,0.00315404
x_26_6.dat,30,0.00313306
x_26_7.dat,49,139.947
x_26_8.dat,17,0.00261784
x_27_0.dat,36,184.363
x_27_1.dat,49,179.701
x_27_2.dat,31,0.00408006
x_27_3.dat,45,178.61
x_27_4.dat,34,0.00437188
x_27_5.dat,48,181.158
x_27_6.dat,46,132.471
x_27_7.dat,18,0.00389791
x_27_8.dat,26,0.00276184
x_28_0.dat,52,79.3488
x_28_1.dat,35,0.00363493
x_28_2.dat,27,0.00301003
x_28_3.dat,37,179.792
x_28_4.dat,53,233.591
x_28_5.dat,34,196.224
x_28_6.dat,35,23.8593
x_28_7.dat,36,202.355
x_28_8.dat,32,234.776
x_29_0.dat,35,0.00286412
x_29_1.dat,32,0.00332999
x_29_2.dat,50,226.792
x_29_3.dat,36,54.7343
x_29_4.dat,34,0.00350213
x_29_5.dat,60,191.231
x_29_6.dat,31,0.00451303
x_29_7.dat,37,279.298
x_29_8.dat,36,234.699
x_30_0.dat,36,0.00360799
x_30_1.dat,25,0.00417709
x_30_3.dat,37,132.287
x_30_4.dat,55,275.082
x_30_5.dat,32,0.00402093
x_30_6.dat,37,0.00406909
x_30_7.dat,36,0.00396609
x_30_8.dat,37,246.234
x_31_0.dat,55,259.5
x_31_1.dat,45,200.021
x_31_2.dat,60,191.756
x_31_3.dat,41,285.394
x_31_4.dat,36,0.00360394
x_31_5.dat,40,209.679
x_31_6.dat,53,0.00435209
x_31_7.dat,35,0.00556087
x_31_8.dat,39,232.928
x_32_0.dat,39,0.00524116
x_32_1.dat,26,0.00433993
x_32_2.dat,42,221.384
x_32_3.dat,28,0.00435185
x_32_4.dat,65,294.85
x_32_5.dat,24,273.806
x_32_6.dat,27,0.00410604
x_32_7.dat,37,294.01
x_32_8.dat,33,0.00436401
x_33_0.dat,39,0.00455999
x_33_1.dat,50,248.913
x_33_2.dat,33,0.00477004
x_33_3.dat,51,77.5175
x_33_5.dat,43,244
x_33_6.dat,41,0.00457788
x_33_7.dat,36,52.2459
x_33_8.dat,53,82.7903
x_34_0.dat,63,320.148
x_34_1.dat,42,197.088
x_34_3.dat,42,0.00451994
x_34_4.dat,36,301.707
x_34_5.dat,60,325.181
x_34_6.dat,35,0.0012269
x_34_7.dat,40,194.293
x_34_8.dat,40,0.00112081
x_35_0.dat,45,259.425
x_35_1.dat,42,0.00167179
x_35_2.dat,41,0.00123405
x_35_3.dat,29,0.00121784
x_35_4.dat,28,0.00569296
x_35_5.dat,44,34.6804
x_35_6.dat,64,319.916
x_35_7.dat,60,259.225
x_35_8.dat,53,18.0533
x_36_0.dat,46,315.891
x_36_2.dat,61,201.892
x_36_3.dat,63,307.045
x_36_4.dat,27,0.00165391
x_36_5.dat,46,246.16
x_36_6.dat,64,236.858
x_36_7.dat,43,25.3729
x_36_8.dat,43,0.00201917
x_37_0.dat,39,176.585
x_37_1.dat,55,285.985
x_37_2.dat,91,322.385
x_37_3.dat,46,0.00248003
x_37_4.dat,42,30.9208
x_37_5.dat,38,0.001863
x_37_6.dat,47,0.00252199
x_37_7.dat,46,0.00199199
x_37_8.dat,43,185.187
x_38_0.dat,48,0.0020411
x_38_2.dat,45,0.00163507
x_38_3.dat,44,0.00140786
x_38_4.dat,70,321.889
x_38_5.dat,44,246.34
x_38_6.dat,44,0.0016861
x_38_7.dat,76,236.57
x_38_8.dat,97,276.929
x_39_0.dat,48,0.00216293
x_39_1.dat,49,0.00150585
x_39_2.dat,47,194.848
x_39_3.dat,62,237.999
x_39_4.dat,43,198.921
x_39_5.dat,46,0.00197387
x_39_6.dat,99,334.88
x_39_7.dat,86,322.771
x_39_8.dat,49,0.00229001
x_40_0.dat,51,72.3825
x_40_1.dat,49,0.0018971
x_40_2.dat,38,230.573
x_40_3.dat,31,0.00198388
x_40_5.dat,50,0.00176287
x_40_8.dat,48,102.623
x_41_0.dat,53,221.778
x_41_1.dat,63,234.027
x_41_2.dat,53,0.001863
x_41_5.dat,44,0.00243497
x_41_6.dat,51,105.734
x_41_7.dat,52,200.792
x_41_8.dat,48,0.00204396
x_42_0.dat,52,0.002038
x_42_1.dat,110,318.465
x_42_4.dat,73,206.495
x_42_5.dat,52,168.784
x_42_6.dat,48,0.00216818
x_42_7.dat,51,0.00568199
x_42_8.dat,42,0.00203109
x_43_0.dat,50,184.423
x_43_1.dat,46,87.4734
